tahun,bulan,ihsg
2009,Januari,1332.67
2009,Februari,1285.48
2009,Maret,1434.07
2009,April,1722.77
2009,Mei,1916.83
2009,Juni,2026.78
2009,Juli,2323.24
2009,Agustus,2341.54
2009,September,2467.59
2009,Oktober,2367.7
2009,November,2415.84
2009,Desember,2534.36
2010,Januari,2610.8
2010,Februari,2549.03
2010,Maret,2777.3
2010,April,2971.25
2010,Mei,2796.96
2010,Juni,2913.68
2010,Juli,3069.28
2010,Agustus,3081.88
2010,September,3501.3
2010,Oktober,3635.32
2010,November,3531.21
2010,Desember,3703.51
2011,Januari,3409.17
2011,Februari,3470.35
2011,Maret,3678.67
2011,April,3819.62
2011,Mei,3836.97
2011,Juni,3888.57
2011,Juli,4130.8
2011,Agustus,3841.73
2011,September,3549.03
2011,Oktober,3790.85
2011,November,3715.08
2011,Desember,3821.99
2012,Januari,3941.69
2012,Februari,3985.21
2012,Maret,4121.55
2012,April,4180.73
2012,Mei,3832.82
2012,Juni,3955.58
2012,Juli,4142.34
2012,Agustus,4060.33
2012,September,4262.56
2012,Oktober,4350.29
2012,November,4276.14
2012,Desember,4316.69
2013,Januari,4453.7
2013,Februari,4795.79
2013,Maret,4940.99
2013,April,5034.07
2013,Mei,5068.63
2013,Juni,4818.9
2013,Juli,4610.38
2013,Agustus,4195.09
2013,September,4316.18
2013,Oktober,4510.63
2013,November,4265.44
2013,Desember,4274.18
2014,Januari,4418.76
2014,Februari,4620.22
2014,Maret,4768.28
2014,April,4840.15
2014,Mei,4893.91
2014,Juni,4878.58
2014,Juli,5088.8
2014,Agustus,5136.86
2014,September,5137.58
2014,Oktober,5089.55
2014,November,5149.89
2014,Desember,5226.95
2015,Januari,5289.4
2015,Februari,5450.29
2015,Maret,5518.68
2015,April,5086.43
2015,Mei,5216.38
2015,Juni,4910.66
2015,Juli,4802.53
2015,Agustus,4509.61
2015,September,4223.91
2015,Oktober,4455.18
2015,November,4446.46
2015,Desember,4593.01
2016,Januari,4615.16
2016,Februari,4770.96
2016,Maret,4845.37
2016,April,4838.58
2016,Mei,4796.87
2016,Juni,5016.65
2016,Juli,5215.99
2016,Agustus,5386
2016,September,5364.8
2016,Oktober,5422.54
2016,November,5148.91
2016,Desember,5296.71
2017,Januari,5294.1
2017,Februari,5386.69
2017,Maret,5568.11
2017,April,5685.3
2017,Mei,5738.15
2017,Juni,5829.71
2017,Juli,5840.94
2017,Agustus,5864.06
2017,September,5900.85
2017,Oktober,6005.78
2017,November,5952.14
2017,Desember,6355.65
2018,Januari,6605.63
2018,Februari,6597.22
2018,Maret,6188.99
2018,April,5994.6
2018,Mei,5983.59
2018,Juni,5799.24
2018,Juli,5936.44
2018,Agustus,6018.46
2018,September,5976.55
2018,Oktober,5831.65
2018,November,6056.12
2018,Desember,6194.5
2019,Januari,6532.97
2019,Februari,6443.35
2019,Maret,6468.76
2019,April,6455.35
2019,Mei,6209.12
2019,Juni,6358.63
2019,Juli,6390.51
2019,Agustus,6328.47
2019,September,6169.1
2019,Oktober,6228.32
2019,November,6011.83
2019,Desember,6299.54
2020,Januari,5940.05
2020,Februari,5452.7
2020,Maret,4538.93
2020,April,4716.4
2020,Mei,4753.61
2020,Juni,4905.39
2020,Juli,5149.63
2020,Agustus,6073.87
2020,September,4870.04
2020,Oktober,5128.23
2020,November,5612.42
2020,Desember,5979.07
2021,Januari,5862.35
2021,Februari,6241.8
2021,Maret,5985.52
2021,April,5995.62
2021,Mei,5947.46
2021,Juni,5985.49
2021,Juli,6070.04
2021,Agustus,6150.3
2021,September,6286.94
2021,Oktober,6591.35
2021,November,6533.93
2021,Desember,6581.48
2022,Januari,6631.15
2022,Februari,6888.17
2022,Maret,7071.44
2022,April,7228.91
2022,Mei,7148.97
2022,Juni,6911.58
2022,Juli,6951.12
2022,Agustus,7178.59
2022,September,7040.8
2022,Oktober,7098.89
2022,November,7081.31
2022,Desember,6850.62
2023,Januari,6839.34
2023,Februari,6843.24
2023,Maret,6805.28
2023,April,6915.72
2023,Mei,6633.26
2023,Juni,6661.88
2023,Juli,6931.36
2023,Agustus,6953.26
2023,September,6939.89
2023,Oktober,6752.21
2023,November,7080.74
2023,Desember,7272.8
2024,Januari,7272.8
2024,Februari,7207.94
2024,Maret,7316.11
2024,April,7288.81
